428 45660
0 1 8507
0 2 4079
0 3 566
0 4 420
0 6 5635
0 8 1831
0 10 2696
0 11 1376
0 12 6484
0 13 3666
0 14 9658
0 15 5659
0 16 363
0 18 6815
0 19 7761
0 20 311
0 22 9151
0 23 8660
0 25 693
0 28 7463
0 31 1103
0 33 5323
0 37 1674
0 38 5176
0 45 8214
0 47 2822
0 48 8596
0 50 1714
0 54 4761
0 55 4590
0 56 2612
0 57 6440
0 58 1646
0 60 7250
0 61 1646
0 62 701
0 64 3640
0 65 1485
0 66 3784
0 74 1169
0 75 6110
0 76 8172
0 78 8366
0 80 8829
0 81 2084
0 82 5520
0 83 272
0 84 8326
0 85 9188
0 86 7419
0 87 7253
0 88 4206
0 89 9503
0 90 7647
0 91 1076
0 92 495
0 93 6330
0 95 3479
0 97 3603
0 99 2241
0 100 1203
0 102 2017
0 103 7620
0 107 5044
0 110 6080
0 111 1662
0 112 2900
0 114 8083
0 117 8707
0 121 9072
0 122 4308
0 127 2999
0 128 9933
0 129 359
0 131 4130
0 136 7871
0 138 5617
0 142 234
0 145 3515
0 147 3113
0 148 7482
0 150 3912
0 151 1394
0 152 5560
0 154 2635
0 155 1845
0 156 4218
0 159 6023
0 161 1853
0 162 1546
0 163 4611
0 169 66
0 172 9497
0 175 3205
0 176 9105
0 177 4862
0 179 5346
0 184 9500
0 186 4009
0 187 5304
0 189 328
0 191 994
0 192 4316
0 194 7438
0 197 8912
0 199 9439
0 200 6594
0 203 2654
0 205 6617
0 207 7269
0 208 6374
0 210 8262
0 212 6848
0 213 9631
0 214 8538
0 217 6478
0 219 1772
0 220 5395
0 222 8642
0 226 3256
0 228 696
0 229 2614
0 232 4856
0 233 9805
0 235 8821
0 238 6014
0 240 1626
0 244 253
0 247 8952
0 248 5050
0 250 5521
0 251 6116
0 252 3020
0 253 9965
0 254 5993
0 256 7790
0 257 5750
0 258 6385
0 263 7439
0 265 1689
0 266 9278
0 267 9085
0 268 1886
0 270 9274
0 271 4541
0 273 4263
0 275 9454
0 277 7804
0 280 8700
0 281 5813
0 282 1301
0 283 4867
0 284 3229
0 285 3636
0 286 5352
0 288 9394
0 290 9937
0 293 9767
0 297 5081
0 298 2831
0 299 3517
0 300 584
0 303 1352
0 304 8395
0 305 7039
0 306 3226
0 307 6890
0 308 6006
0 310 5344
0 312 4810
0 314 6139
0 315 9165
0 316 3935
0 319 176
0 320 6783
0 323 5068
0 325 6413
0 326 5500
0 328 6276
0 332 69
